                   frame  Start Frame
    0.001 ms       script   Checking CHOP channels for CHOP Execute DAT /ui/lib/TUIK2/knoblabel/slider1/on_change (DAT:chopexec)
    0.002 ms       script   Checking CHOP channels for CHOP Execute DAT /ui/lib/TUIK2/sliderhsv/slider/set_knobs (DAT:chopexec)
    0.001 ms       script   Checking CHOP channels for CHOP Execute DAT /ui/lib/TUIK2/sliderrgb/slider/set_knobs (DAT:chopexec)
    0.002 ms       script   Checking CHOP channels for CHOP Execute DAT /ui/lib/TUIK2/sliderhorz/set_knobs (DAT:chopexec)
    0.001 ms       script   Checking CHOP channels for CHOP Execute DAT /ui/lib/TUIK2/slidervert/set_knobs (DAT:chopexec)
    0.001 ms       script   Checking CHOP channels for CHOP Execute DAT /ui/lib/TUIK2/knobendless/slider1/script (DAT:chopexec)
    0.001 ms       script   Checking CHOP channels for CHOP Execute DAT /ui/lib/TUIK2/knobendless/slider1/on_change (DAT:chopexec)
    0.001 ms       script   Checking CHOP channels for CHOP Execute DAT /ui/lib/TUIK2/sliderhorzmulti/set_knobs (DAT:chopexec)
    0.001 ms       script   Checking CHOP channels for CHOP Execute DAT /ui/lib/TUIK2/sliderhorzvalue/slider/set_knobs (DAT:chopexec)
    0.001 ms       script   Checking CHOP channels for CHOP Execute DAT /ui/lib/TUIK2/sliderhorzxfade/set_knobs (DAT:chopexec)
    0.001 ms       script   Checking CHOP channels for CHOP Execute DAT /ui/lib/TUIK2/knobendlesslabel/slider1/script (DAT:chopexec)
    0.002 ms       script   Checking CHOP channels for CHOP Execute DAT /ui/lib/TUIK2/knobendlesslabel/slider1/on_change (DAT:chopexec)
    0.002 ms       script   Checking CHOP channels for CHOP Execute DAT /lcroot/audio/bandlowctrl/chopexec1 (DAT:chopexec)
    0.001 ms       script   Checking CHOP channels for CHOP Execute DAT /lcroot/audio/bandlowctrl/gainslider/set_knobs (DAT:chopexec)
    0.002 ms       script   Checking CHOP channels for CHOP Execute DAT /lcroot/audio/bandlowctrl/rolloffslider/set_knobs (DAT:chopexec)
    0.002 ms       script   Checking CHOP channels for CHOP Execute DAT /lcroot/audio/bandmidctrl/chopexec1 (DAT:chopexec)
    0.001 ms       script   Checking CHOP channels for CHOP Execute DAT /lcroot/audio/bandmidctrl/gainslider/set_knobs (DAT:chopexec)
    0.001 ms       script   Checking CHOP channels for CHOP Execute DAT /lcroot/audio/bandmidctrl/rolloffslider/set_knobs (DAT:chopexec)
    0.002 ms       script   Checking CHOP channels for CHOP Execute DAT /lcroot/audio/bandhighctrl/chopexec1 (DAT:chopexec)
    0.001 ms       script   Checking CHOP channels for CHOP Execute DAT /lcroot/audio/bandhighctrl/gainslider/set_knobs (DAT:chopexec)
    0.001 ms       script   Checking CHOP channels for CHOP Execute DAT /lcroot/audio/bandhighctrl/rolloffslider/set_knobs (DAT:chopexec)
    0.002 ms       script   Checking CHOP channels for CHOP Execute DAT /lcroot/audio/inputportctrl/gainslider/set_knobs (DAT:chopexec)
    0.002 ms       script   Checking CHOP channels for CHOP Execute DAT /lcroot/audio/outputportctrl/gainslider/set_knobs (DAT:chopexec)
    0.003 ms       cook   /lcroot/triggers/echojittertrigger/null1 (CHOP:null Selective/Force Cook Check)
    0.008 ms  2481 cook     /lcroot/triggers/echojittertrigger/logic1 (CHOP:logic)
    0.003 ms       cook   /lcroot/triggers/echojittertrigger/mixlevel (CHOP:null Selective/Force Cook Check)
    0.008 ms  2499 cook     /lcroot/triggers/echojittertrigger/trigger1 (CHOP:trigger)
    0.002 ms       cook   /lcroot/triggers/echojittertrigger/animposition (CHOP:null Selective/Force Cook Check)
    0.006 ms  2494 cook     /lcroot/triggers/echojittertrigger/speed1 (CHOP:speed)
    0.001 ms  2493 cook      /lcroot/triggers/echojittertrigger/startanim (CHOP:null)
    0.004 ms  2493 cook       /lcroot/triggers/echojittertrigger/delay1 (CHOP:delay)
    0.002 ms       cook   /lcroot/triggers/stutterhalttrigger/null1 (CHOP:null Selective/Force Cook Check)
    0.005 ms  2481 cook     /lcroot/triggers/stutterhalttrigger/logic1 (CHOP:logic)
    0.004 ms       cook   /lcroot/triggers/stutterhalttrigger/mixlevel (CHOP:null Selective/Force Cook Check)
    0.005 ms  2499 cook     /lcroot/triggers/stutterhalttrigger/trigger1 (CHOP:trigger)
    0.001 ms       cook   /lcroot/triggers/stutterhalttrigger/animposition (CHOP:null Selective/Force Cook Check)
    0.004 ms  2494 cook     /lcroot/triggers/stutterhalttrigger/speed1 (CHOP:speed)
    0.002 ms  2493 cook      /lcroot/triggers/stutterhalttrigger/startanim (CHOP:null)
    0.004 ms  2493 cook       /lcroot/triggers/stutterhalttrigger/delay1 (CHOP:delay)
    0.002 ms       cook   /lcroot/triggers/expandturbifytrigger/null1 (CHOP:null Selective/Force Cook Check)
    0.005 ms  2481 cook     /lcroot/triggers/expandturbifytrigger/logic1 (CHOP:logic)
    0.003 ms       cook   /lcroot/triggers/expandturbifytrigger/mixlevel (CHOP:null Selective/Force Cook Check)
    0.006 ms  2499 cook     /lcroot/triggers/expandturbifytrigger/trigger1 (CHOP:trigger)
    0.001 ms       cook   /lcroot/triggers/expandturbifytrigger/animposition (CHOP:null Selective/Force Cook Check)
    0.004 ms  2494 cook     /lcroot/triggers/expandturbifytrigger/speed1 (CHOP:speed)
    0.001 ms  2493 cook      /lcroot/triggers/expandturbifytrigger/startanim (CHOP:null)
    0.004 ms  2493 cook       /lcroot/triggers/expandturbifytrigger/delay1 (CHOP:delay)
    0.003 ms       cook   /lcroot/triggers/explodejittertrigger/null1 (CHOP:null Selective/Force Cook Check)
    0.004 ms  2481 cook     /lcroot/triggers/explodejittertrigger/logic1 (CHOP:logic)
    0.002 ms       cook   /lcroot/triggers/explodejittertrigger/mixlevel (CHOP:null Selective/Force Cook Check)
    0.006 ms  2499 cook     /lcroot/triggers/explodejittertrigger/trigger1 (CHOP:trigger)
    0.002 ms       cook   /lcroot/triggers/explodejittertrigger/animposition (CHOP:null Selective/Force Cook Check)
    0.003 ms  2494 cook     /lcroot/triggers/explodejittertrigger/speed1 (CHOP:speed)
    0.003 ms  2493 cook      /lcroot/triggers/explodejittertrigger/startanim (CHOP:null)
    0.003 ms  2493 cook       /lcroot/triggers/explodejittertrigger/delay1 (CHOP:delay)
    0.002 ms       cook   /lcroot/sequencing/gater1/null2 (CHOP:null Selective/Force Cook Check)
    0.002 ms       script   Checking CHOP channels for CHOP Execute DAT /lcroot/controlsystem/scene1/ctrlgui1/ctrlslider/set_knobs (DAT:chopexec)
    0.002 ms       script   Checking CHOP channels for CHOP Execute DAT /lcroot/controlsystem/scene1/ctrlgui1/basevalslider/set_knobs (DAT:chopexec)
